nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,tahun,umur,location
KABUPATEN BOGOR,LAKI-LAKI,SD,0,2018,6-11,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,SMP,0,2018,12-14,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,SMA,0,2018,15-17,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SD,0,2018,6-11,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SMP,1,2018,12-14,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SMA,0,2018,15-17,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN SUKABUMI,LAKI-LAKI,SD,3,2018,6-11,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,SMP,0,2018,12-14,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,SMA,2,2018,15-17,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SD,12,2018,6-11,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SMP,7,2018,12-14,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SMA,8,2018,15-17,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,2,2018,>18,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN CIANJUR,LAKI-LAKI,SD,3,2018,6-11,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,SMP,0,2018,12-14,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,SMA,0,2018,15-17,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,PERGURUAN TINGGI,1,2018,>18,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SD,0,2018,6-11,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SMP,0,2018,12-14,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SMA,0,2018,15-17,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN BANDUNG,LAKI-LAKI,SD,3,2018,6-11,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,SMP,5,2018,12-14,"-7.9066879,110.56400786469558"
